DATETIME, Mount Head Flow
2019-06-04 11:26:33:19,-0.214
2019-06-04 11:26:33:21,-0.214
2019-06-04 11:26:33:24,-0.214
2019-06-04 11:26:33:25,-0.214
2019-06-04 11:26:33:27,-0.214
2019-06-04 11:26:33:29,-0.214
2019-06-04 11:26:33:30,-0.214
2019-06-04 11:26:33:32,-0.214
2019-06-04 11:26:33:35,-0.214
2019-06-04 11:26:33:36,-0.214
2019-06-04 11:26:33:38,-0.214
2019-06-04 11:26:33:40,-0.214
2019-06-04 11:26:33:41,-0.214
2019-06-04 11:26:33:43,-0.214
2019-06-04 11:26:33:46,-0.214
2019-06-04 11:26:33:47,-0.214
2019-06-04 11:26:33:49,-0.214
2019-06-04 11:26:33:50,-0.214
2019-06-04 11:26:33:52,-0.214
2019-06-04 11:26:33:54,-0.214
2019-06-04 11:26:33:57,-0.214
2019-06-04 11:26:33:58,-0.214
2019-06-04 11:26:33:60,-0.214
2019-06-04 11:26:33:61,-0.214
2019-06-04 11:26:33:63,-0.214
2019-06-04 11:26:33:64,-0.214
2019-06-04 11:26:33:68,-0.214
2019-06-04 11:26:33:69,-0.214
2019-06-04 11:26:33:71,-0.214
2019-06-04 11:26:33:72,-0.214
2019-06-04 11:26:33:74,-0.214
2019-06-04 11:26:33:77,-0.214
2019-06-04 11:26:33:79,-0.214
2019-06-04 11:26:33:82,-0.214
2019-06-04 11:26:33:83,-0.214
2019-06-04 11:26:34:00,-0.687
2019-06-04 11:26:34:03,-0.687
2019-06-04 11:26:34:05,-0.687
2019-06-04 11:26:34:08,-0.687
2019-06-04 11:26:34:11,-0.687
2019-06-04 11:26:34:13,-0.687
2019-06-04 11:26:34:16,-0.687
2019-06-04 11:26:34:18,-0.687
2019-06-04 11:26:34:19,-0.687
2019-06-04 11:26:34:22,-0.687
2019-06-04 11:26:34:24,-0.687
2019-06-04 11:26:34:25,-0.687
2019-06-04 11:26:34:27,-0.687
2019-06-04 11:26:34:28,-0.687
2019-06-04 11:26:34:30,-0.687
2019-06-04 11:26:34:33,-0.687
2019-06-04 11:26:34:35,-0.687
2019-06-04 11:26:34:36,-0.687
2019-06-04 11:26:34:38,-0.687
2019-06-04 11:26:34:39,-0.687
2019-06-04 11:26:34:41,-0.687
2019-06-04 11:26:34:44,-0.687
2019-06-04 11:26:34:46,-0.687
2019-06-04 11:26:34:49,-0.687
2019-06-04 11:26:34:50,-0.687
2019-06-04 11:26:34:52,-0.687
2019-06-04 11:26:34:55,-0.687
2019-06-04 11:26:34:57,-0.687
2019-06-04 11:26:34:58,-0.687
2019-06-04 11:26:34:60,-0.687
2019-06-04 11:26:34:61,-0.687
2019-06-04 11:26:34:63,-0.687
2019-06-04 11:26:34:66,-0.687
2019-06-04 11:26:34:67,-0.687
2019-06-04 11:26:34:69,-0.687
